,Идентификатор пользователя,Имя,Фамилия,Самый популярный трек любимого исполнителя
79,25,Егор,Муратов,Dynamite
80,34,Алексей,Попов,Dynamite
81,80, Тимур, Зверев,Dynamite
82,101, Таисия, Костина,Dynamite
83,115, Милана, Покровская,Dynamite
84,26,Александр,Войтенко,DOMINO
85,35,Матвей,Васильев,DOMINO
86,47,Камилла, Молчанова,DOMINO
87,56, Станислав, Богомолов,DOMINO
88,81, Генрих, Владимиров,DOMINO
89,90, Даниил, Терехов,DOMINO
90,97, Виктория, Гордеева,DOMINO
91,116, Варвара, Бочарова,DOMINO
101,29,Семён,Ревков,HIP
102,39,Виктор,Новиков,HIP
103,84, Михаил, Кудряшов,HIP
104,103, Ксения, Филимонова,HIP
105,120, Александр, Агафонов,HIP
109,37,Дмитрий,Соколов,Shut down
110,49,Эвелина, Литвинова,Shut down
111,82, Давид, Селезнев,Shut down
112,118, Диана, Маркина,Shut down
