,Идентификатор пользователя,Имя,Фамилия,Самый популярный трек любимого исполнителя
4,2,Александр,Батонов,Why I love you
5,11,Ахмад,Саитов,Why I love you
6,58, Владислав, Лавров,Why I love you
7,68, Регина, Самойлова,Why I love you
8,92, Арсений,Айнуров,Why I love you
9,105, Кира, Овсянникова,Why I love you
10,114, Олеся,Шаповалова,Why I love you
24,5,Эльдар,Акрамов,God’s plan
25,18,Евгения,Медведева,God’s plan
26,43,Злата,Златоуст,God’s plan
27,50,Лиана, Ершова,God’s plan
28,61, Антон, Ларин,God’s plan
29,73, Федор, Черкасова,God’s plan
30,102, Валерия, Широкова,God’s plan
31,108, Елена, Нефедова,God’s plan
32,6,Айнур,Муратов,Hella Players
33,44,Ярослава,Волкова,Hella Players
34,51,Ольга,Игнатьева,Hella Players
35,62, Мстислав, Никулин,Hella Players
36,109, Любовь, Корнилова,Hella Players
52,10,Заур,Баширов,Море
53,67, Адель, Фокина,Море
54,113, Полина, Копылова,Море
55,12,Амир,Сагитов,Понты
56,69, Мирослава,Константинова,Понты
63,19,Ульяна,Квашина,Здравствуйте
64,74, Эрик, Чистяков,Здравствуйте
